,sim_id,p_SES_high,epsilon,rho,H_Share,Exposure,Friend_Bias,N_exposure,Degree
3,bouFYamV,0.5,1.5,1.2000000000000002,0.0,0.5263157894736842,1.0,20,8
4,bouFYamV,0.5,1.5,1.2000000000000002,0.5,0.8,0.9375,20,6
5,bouFYamV,0.5,1.5,1.2000000000000002,0.2222222222222222,0.7,0.9682539682539683,20,9
6,bouFYamV,0.5,1.5,1.2000000000000002,0.3333333333333333,0.6666666666666666,0.9444444444444444,20,9
7,bouFYamV,0.5,1.5,1.2000000000000002,0.5,0.9,0.9444444444444444,20,10
8,bouFYamV,0.5,1.5,1.2000000000000002,0.375,0.7777777777777778,0.9464285714285714,20,8
9,bouFYamV,0.5,1.5,1.2000000000000002,0.6363636363636364,0.9473684210526315,0.9292929292929293,20,11
0,tZGlCdDj,0.5,1.5,1.3000000000000003,0.2857142857142857,0.7368421052631579,0.9591836734693877,20,7
1,tZGlCdDj,0.5,1.5,1.3000000000000003,0.0,0.6,1.0,20,7
2,tZGlCdDj,0.5,1.5,1.3000000000000003,0.16666666666666666,0.631578947368421,0.9722222222222222,20,12
3,tZGlCdDj,0.5,1.5,1.3000000000000003,0.2727272727272727,0.35294117647058826,0.9090909090909091,20,11
4,tZGlCdDj,0.5,1.5,1.3000000000000003,0.4444444444444444,0.8421052631578947,0.9444444444444444,20,9
5,tZGlCdDj,0.5,1.5,1.3000000000000003,0.0,0.8421052631578947,1.0,20,5
6,tZGlCdDj,0.5,1.5,1.3000000000000003,0.4166666666666667,1.0,0.9583333333333334,20,12
7,tZGlCdDj,0.5,1.5,1.3000000000000003,0.25,0.8,0.96875,20,12
8,tZGlCdDj,0.5,1.5,1.3000000000000003,0.25,0.9,0.9722222222222222,20,8
9,tZGlCdDj,0.5,1.5,1.3000000000000003,0.25,0.7058823529411765,0.9583333333333334,20,8
0,whNuOciB,0.5,1.5,1.4000000000000004,0.375,0.6,0.9375,20,8
1,whNuOciB,0.5,1.5,1.4000000000000004,0.6,1.3333333333333333,0.95,20,10
2,whNuOciB,0.5,1.5,1.4000000000000004,0.3,0.7,0.9571428571428572,20,10
3,whNuOciB,0.5,1.5,1.4000000000000004,0.2222222222222222,0.8421052631578947,0.9722222222222222,20,9
