,sim_id,p_SES_high,epsilon,rho,H_Share,Exposure,Friend_Bias,N_exposure,Degree
3,jGbArSjh,0.5,1.1500000000000006,1.5,0.0,0.2,1.0,20,10
4,jGbArSjh,0.5,1.1500000000000006,1.5,0.2727272727272727,0.8888888888888888,0.9659090909090909,20,11
5,jGbArSjh,0.5,1.1500000000000006,1.5,0.4444444444444444,1.0526315789473684,0.9555555555555556,20,9
6,jGbArSjh,0.5,1.1500000000000006,1.5,0.6666666666666666,1.0526315789473684,0.9333333333333333,20,12
7,jGbArSjh,0.5,1.1500000000000006,1.5,0.3,0.7368421052631579,0.9571428571428572,20,10
8,jGbArSjh,0.5,1.1500000000000006,1.5,0.0,0.5263157894736842,1.0,20,7
9,jGbArSjh,0.5,1.1500000000000006,1.5,0.2857142857142857,0.7058823529411765,0.9523809523809523,20,7
0,hniPcQYs,0.5,1.2000000000000006,1.5,0.4444444444444444,1.0526315789473684,0.9555555555555556,20,9
1,hniPcQYs,0.5,1.2000000000000006,1.5,0.5555555555555556,1.2941176470588236,0.9494949494949495,20,9
2,hniPcQYs,0.5,1.2000000000000006,1.5,0.2857142857142857,0.8235294117647058,0.9591836734693877,20,7
3,hniPcQYs,0.5,1.2000000000000006,1.5,0.4444444444444444,0.9473684210526315,0.9506172839506173,20,9
4,hniPcQYs,0.5,1.2000000000000006,1.5,0.2727272727272727,0.5,0.9454545454545454,20,11
5,hniPcQYs,0.5,1.2000000000000006,1.5,0.5,0.9473684210526315,0.9444444444444444,20,6
6,hniPcQYs,0.5,1.2000000000000006,1.5,0.25,0.8,0.96875,20,8
7,hniPcQYs,0.5,1.2000000000000006,1.5,0.2857142857142857,0.7,0.9591836734693877,20,7
8,hniPcQYs,0.5,1.2000000000000006,1.5,0.5555555555555556,1.263157894736842,0.9537037037037037,20,9
9,hniPcQYs,0.5,1.2000000000000006,1.5,0.2,0.8421052631578947,0.975,20,5
0,CqhtDlHm,0.5,1.2500000000000007,1.5,0.2857142857142857,0.8421052631578947,0.9642857142857143,20,7
1,CqhtDlHm,0.5,1.2500000000000007,1.5,0.42857142857142855,1.0526315789473684,0.9571428571428572,20,7
2,CqhtDlHm,0.5,1.2500000000000007,1.5,0.2222222222222222,1.1,0.9797979797979798,20,9
3,CqhtDlHm,0.5,1.2500000000000007,1.5,0.3333333333333333,0.7777777777777778,0.9523809523809523,20,6
4,CqhtDlHm,0.5,1.2500000000000007,1.5,0.3,0.8421052631578947,0.9625,20,10
5,CqhtDlHm,0.5,1.2500000000000007,1.5,0.0,1.1,1.0,20,5
6,CqhtDlHm,0.5,1.2500000000000007,1.5,0.38461538461538464,0.8888888888888888,0.9519230769230769,20,13
7,CqhtDlHm,0.5,1.2500000000000007,1.5,0.5,0.8,0.9375,20,10
8,CqhtDlHm,0.5,1.2500000000000007,1.5,0.25,0.7777777777777778,0.9642857142857143,20,8
9,CqhtDlHm,0.5,1.2500000000000007,1.5,0.42857142857142855,0.8421052631578947,0.9464285714285714,20,14
