,sim_id,p_SES_high,epsilon,rho,H_Share,Exposure,Friend_Bias,N_exposure,Degree,Network_SES_assortativity,Network_H_Share_H,Network_H_Share_L,Network_Degree,Network_Clustering,Predicted_H_Share,Predicted_Exposure,Predicted_Friend_Bias
1,vbIYJYQw,0.5,2.1265145031660495,1.286090865717963,0.05555555555555555,0.1111111111111111,0.9444444444444444,20,18,0.3812226204699322,0.7446232664642766,0.33734175503310104,29.7,0.37596022904076115,0.24869548375296627,0.63968998,0.16288999999999998
0,vneEpvyK,0.5,0.9139122279852245,1.2071942526946176,0.47058823529411764,1.0526315789473684,0.9529411764705882,20,17,0.009157806016597318,0.48575375893290007,0.48696991749547536,29.82,0.3575621536926007,0.43281352510893184,1.04498,0.09003000000000008
1,vneEpvyK,0.5,0.9139122279852245,1.2071942526946176,0.6875,1.4736842105263157,0.9508928571428571,20,16,0.009157806016597318,0.48575375893290007,0.48696991749547536,29.82,0.3575621536926007,0.43281352510893184,1.04498,0.09003000000000008
0,UbQkrrlk,0.5,0.5486948374257594,1.4280682050553042,0.7368421052631579,1.5,0.9508771929824561,20,19,-0.07490095004545853,0.5084401150743231,0.5912892921212181,26.96,0.3188045705043254,0.45215277373603735,1.29141,0.13169
1,UbQkrrlk,0.5,0.5486948374257594,1.4280682050553042,0.5,1.1111111111111112,0.95,20,16,-0.07490095004545853,0.5084401150743231,0.5912892921212181,26.96,0.3188045705043254,0.45215277373603735,1.29141,0.13169
0,JSPsSlUL,0.5,0.39589745737278137,1.0983999220389922,0.65,1.3,0.95,20,20,-0.28926619954060917,0.3650619176203594,0.6746566429391128,30.52,0.35050507968648686,0.6522078030287487,1.43277,0.02715
1,JSPsSlUL,0.5,0.39589745737278137,1.0983999220389922,0.75,1.5294117647058822,0.9423076923076923,20,16,-0.28926619954060917,0.3650619176203594,0.6746566429391128,30.52,0.35050507968648686,0.6522078030287487,1.43277,0.02715
0,ZkEwBGZR,0.5,1.3810940277006716,1.315258870359995,0.4375,1.0526315789473684,0.95625,20,16,0.2276444650731028,0.5961911685319341,0.36232227055597027,29.4,0.35590572757953526,0.3193097757896513,0.83995003,0.15458999999999995
1,ZkEwBGZR,0.5,1.3810940277006716,1.315258870359995,0.35294117647058826,0.8421052631578947,0.9558823529411765,20,17,0.2276444650731028,0.5961911685319341,0.36232227055597027,29.4,0.35590572757953526,0.3193097757896513,0.83995003,0.15458999999999995
0,aXfNQzWa,0.5,0.509650440440516,1.2379585144436551,0.6666666666666666,1.4,0.9523809523809523,20,18,-0.18334746641038685,0.40098520429316625,0.5902138541801872,29.14,0.3418320068413155,0.535078512140359,1.32481,0.07435999800000004
1,aXfNQzWa,0.5,0.509650440440516,1.2379585144436551,0.4444444444444444,1.0,0.9555555555555556,20,18,-0.18334746641038685,0.40098520429316625,0.5902138541801872,29.14,0.3418320068413155,0.535078512140359,1.32481,0.07435999800000004
0,sxnasDIq,0.5,1.5636751863019551,1.220717002322971,0.47058823529411764,1.0526315789473684,0.9529411764705882,20,17,0.2421909832638523,0.655051234816852,0.3969637425480976,30.44,0.359880790560352,0.31953762768743565,0.78013003,0.11865
1,sxnasDIq,0.5,1.5636751863019551,1.220717002322971,0.2222222222222222,0.4444444444444444,0.9444444444444444,20,18,0.2421909832638523,0.655051234816852,0.3969637425480976,30.44,0.359880790560352,0.31953762768743565,0.78013003,0.11865
0,CVdfEuMk,0.5,2.157612163791469,1.278549800182625,0.16666666666666666,0.42105263157894735,0.9583333333333334,20,18,0.36736291500769674,0.6579355615104933,0.26798824778432295,29.62,0.3670365590380316,0.24769860740251493,0.63339001,0.15989999000000005
1,CVdfEuMk,0.5,2.157612163791469,1.278549800182625,0.3888888888888889,0.7777777777777778,0.9444444444444444,20,18,0.36736291500769674,0.6579355615104933,0.26798824778432295,29.62,0.3670365590380316,0.24769860740251493,0.63339001,0.15989999000000005
0,VzpzCFHY,0.5,3.1130259531937643,1.187902151038555,0.3684210526315789,0.7368421052631579,0.9473684210526316,20,19,0.45235127062825164,0.7098435220517536,0.2368897791933495,29.84,0.37974395706695824,0.2046717398292756,0.48626,0.12450999999999994
1,VzpzCFHY,0.5,3.1130259531937643,1.187902151038555,0.1875,0.7,0.9732142857142857,20,16,0.45235127062825164,0.7098435220517536,0.2368897791933495,29.84,0.37974395706695824,0.2046717398292756,0.48626,0.12450999999999994
0,fjHOPMyl,0.5,2.358127338946186,1.1903564723005746,0.25,0.6666666666666666,0.9583333333333334,20,16,0.37327627321937645,0.6616799687527954,0.27231496446355224,30.68,0.3707589264666051,0.2501645699665729,0.59557003,0.11790999999999993
1,fjHOPMyl,0.5,2.358127338946186,1.1903564723005746,0.2222222222222222,0.5263157894736842,0.9555555555555556,20,18,0.37327627321937645,0.6616799687527954,0.27231496446355224,30.68,0.3707589264666051,0.2501645699665729,0.59557003,0.11790999999999993
0,AuMLvHbV,0.5,1.4057835035425161,1.5418188307357765,0.17647058823529413,0.4444444444444444,0.9558823529411765,20,17,0.2825083129430954,0.6185684771889192,0.3243697955326477,27.78,0.33089618576315355,0.2695939313451238,0.83133,0.24047001000000007
1,AuMLvHbV,0.5,1.4057835035425161,1.5418188307357765,0.26666666666666666,0.8421052631578947,0.9666666666666667,20,15,0.2825083129430954,0.6185684771889192,0.3243697955326477,27.78,0.33089618576315355,0.2695939313451238,0.83133,0.24047001000000007
0,EEjPKXQc,0.5,2.100967549940578,1.3476563524297023,0.5,1.2,0.9583333333333334,20,16,0.36898708863065827,0.7132464615085728,0.32349791640534914,28.72,0.3617311239642178,0.23928948534884123,0.64495999,0.19064000000000011
1,EEjPKXQc,0.5,2.100967549940578,1.3476563524297023,0.4117647058823529,0.9473684210526315,0.954248366013072,20,17,0.36898708863065827,0.7132464615085728,0.32349791640534914,28.72,0.3617311239642178,0.23928948534884123,0.64495999,0.19064000000000011
0,YOfQTvwK,0.5,1.035105571101501,1.2827197097989786,0.2222222222222222,0.5263157894736842,0.9555555555555556,20,18,0.08527383532859989,0.4273325215534377,0.3377344481670619,28.94,0.3375568626922511,0.3830727759511903,0.98275,0.12571998999999998
