county,county_name,exposure_grp_mem_county,exposure_grp_mem_high_county,bias_grp_mem_county,bias_grp_mem_high_county
54073,"Pleasants, West Virginia",0.87862998,0.93974,0.041250002,-0.13149001
54075,"Pocahontas, West Virginia",0.77860999,0.96731001,0.079170004,-0.17023
54077,"Preston, West Virginia",0.90793997,1.03458,0.10005,-0.12992001
54079,"Putnam, West Virginia",1.05656,1.1670099,0.038619999,-0.17852999
54081,"Raleigh, West Virginia",0.84816998,0.94506001,0.051180001,-0.19414
54083,"Randolph, West Virginia",0.77385998,0.93213999,0.086049996,-0.19250999
54085,"Ritchie, West Virginia",0.86790001,0.9393,0.00329,-0.19054
54087,"Roane, West Virginia",0.82699001,0.90540999,0.065849997,-0.14331
54089,"Summers, West Virginia",0.79951,0.88881999,0.01114,-0.20543
54091,"Taylor, West Virginia",0.96206999,1.04684,0.088480003,-0.16192999
54093,"Tucker, West Virginia",0.91214001,1.05932,0.00463,-0.14072999
54095,"Tyler, West Virginia",0.83384001,0.90568,0.032439999,-0.14485
54097,"Upshur, West Virginia",0.79650003,0.90323001,0.1008,-0.2484
54099,"Wayne, West Virginia",0.80666,0.91556001,0.047400001,-0.16123
54101,"Webster, West Virginia",0.61211997,0.70519,0.00433,-0.25444999
54103,"Wetzel, West Virginia",0.81897998,0.92826003,0.046119999,-0.16393
54105,"Wirt, West Virginia",0.82132,0.91362,0.043710001,-0.15525
54107,"Wood, West Virginia",0.88059002,1.00911,0.080159999,-0.17628001
54109,"Wyoming, West Virginia",0.78946,0.86245,0.017750001,-0.15872
55001,"Adams, Wisconsin",0.90797001,1.06451,0.075429998,-0.17859
55003,"Ashland, Wisconsin",0.86390001,1.05618,0.074830003,-0.18071
55005,"Barron, Wisconsin",1.028,1.16175,0.048239999,-0.16126999
55007,"Bayfield, Wisconsin",0.96042001,1.19908,0.035470001,-0.13492
55009,"Brown, Wisconsin",1.07649,1.30681,0.10569,-0.14489999
55011,"Buffalo, Wisconsin",1.23145,1.33233,0.0177,-0.11541
55013,"Burnett, Wisconsin",0.97431999,1.10762,0.035080001,-0.14858
55015,"Calumet, Wisconsin",1.28732,1.37656,0.070819996,-0.10338
55017,"Chippewa, Wisconsin",1.15215,1.2619801,0.046610001,-0.13766
55019,"Clark, Wisconsin",1.08841,1.22916,0.087980002,-0.11773
55021,"Columbia, Wisconsin",1.19108,1.31078,0.058449998,-0.12946001
55023,"Crawford, Wisconsin",1.04623,1.16417,0.02489,-0.15333
55025,"Dane, Wisconsin",1.2754101,1.46891,0.092239998,-0.11269
55027,"Dodge, Wisconsin",1.1516,1.2692699,0.072379999,-0.12745
55029,"Door, Wisconsin",1.06652,1.23297,0.048749998,-0.14442
55031,"Douglas, Wisconsin",1.01814,1.1698999,0.093269996,-0.15612
55033,"Dunn, Wisconsin",1.23464,1.3276,0.075800002,-0.1076
55035,"Eau Claire, Wisconsin",1.2365299,1.35078,0.078950003,-0.12603
55037,"Florence, Wisconsin",0.95994997,1.11851,0.068769999,-0.14456999
55039,"Fond du Lac, Wisconsin",1.1054,1.24844,0.090109996,-0.14814
55041,"Forest, Wisconsin",0.82559001,0.96828002,0.062199999,-0.21262001
55043,"Grant, Wisconsin",1.21566,1.33348,0.039409999,-0.11633
55045,"Green, Wisconsin",1.13834,1.2639199,0.09228,-0.13749
55047,"Green Lake, Wisconsin",1.06273,1.19696,0.05085,-0.14986999
55049,"Iowa, Wisconsin",1.26736,1.37438,0.02925,-0.11143
55051,"Iron, Wisconsin",0.90399998,1.03219,0.040759999,-0.15437999
55053,"Jackson, Wisconsin",0.95744002,1.10763,0.10523,-0.18508001
55055,"Jefferson, Wisconsin",1.1752599,1.32368,0.10167,-0.12048
55057,"Juneau, Wisconsin",1.01544,1.12971,0.078039996,-0.17602
55059,"Kenosha, Wisconsin",1.03271,1.24335,0.12005,-0.16069999
55061,"Kewaunee, Wisconsin",1.2161601,1.29857,0.02727,-0.13269
55063,"La Crosse, Wisconsin",1.20166,1.34962,0.091839999,-0.12932999
55065,"Lafayette, Wisconsin",1.17659,1.30015,0.067659996,-0.13293
55067,"Langlade, Wisconsin",0.93914002,1.05858,0.085879996,-0.20236
55069,"Lincoln, Wisconsin",1.06475,1.14802,0.073830001,-0.16537
55071,"Manitowoc, Wisconsin",1.05549,1.19576,0.089100003,-0.16674
55073,"Marathon, Wisconsin",1.16615,1.27802,0.07288,-0.15163
55075,"Marinette, Wisconsin",0.89099997,1.02703,0.058249999,-0.16976
55077,"Marquette, Wisconsin",1.05786,1.17493,0.040679999,-0.15836
55078,"Menominee, Wisconsin",0.44190001,0.68822002,0.076159999,-0.15598001
55079,"Milwaukee, Wisconsin",0.76582003,1.37138,0.13654999,-0.11717
55081,"Monroe, Wisconsin",1.05266,1.16971,0.15849,-0.1435
55083,"Oconto, Wisconsin",1.08173,1.1992199,0.033950001,-0.14328
55085,"Oneida, Wisconsin",1.02713,1.15684,0.07237,-0.17576
55087,"Outagamie, Wisconsin",1.21349,1.34907,0.060660001,-0.13771001
55089,"Ozaukee, Wisconsin",1.36839,1.5019701,0.023429999,-0.11028
55091,"Pepin, Wisconsin",1.22636,1.32243,-0.034049999,-0.11041
55093,"Pierce, Wisconsin",1.37555,1.44832,0.04713,-0.089390002
55095,"Polk, Wisconsin",1.17089,1.27776,0.03551,-0.11387
55097,"Portage, Wisconsin",1.22489,1.31797,0.06081,-0.12896
55099,"Price, Wisconsin",1.0078501,1.1289001,0.04569,-0.15922999
55101,"Racine, Wisconsin",0.97189999,1.22285,0.13600001,-0.15537
55103,"Richland, Wisconsin",1.02798,1.1386499,0.064199999,-0.16129
55105,"Rock, Wisconsin",0.96831,1.19539,0.099169999,-0.17206
55107,"Rusk, Wisconsin",0.96969002,1.07786,0.03052,-0.16786
55109,"St. Croix, Wisconsin",1.38149,1.46297,0.0438,-0.093379997
55111,"Sauk, Wisconsin",1.1264499,1.25351,0.07863,-0.14733
55113,"Sawyer, Wisconsin",0.85298997,1.03872,0.17174,-0.2465
55115,"Shawano, Wisconsin",0.99675,1.1578701,0.049600001,-0.15373001
55117,"Sheboygan, Wisconsin",1.09654,1.27834,0.090800002,-0.13805
55119,"Taylor, Wisconsin",1.06495,1.164,0.028340001,-0.15069
55121,"Trempealeau, Wisconsin",1.0404201,1.28865,0.092069998,-0.14011
55123,"Vernon, Wisconsin",1.1052999,1.23314,0.00629,-0.15273
55125,"Vilas, Wisconsin",0.87358999,1.18426,0.074979998,-0.15154
55127,"Walworth, Wisconsin",1.18302,1.32401,0.10378,-0.12289
55129,"Washburn, Wisconsin",1.003,1.14912,0.05796,-0.14848
55131,"Washington, Wisconsin",1.32797,1.4313,0.055679999,-0.12058
55133,"Waukesha, Wisconsin",1.3277299,1.50886,0.043370001,-0.10294
55135,"Waupaca, Wisconsin",1.10929,1.21981,0.079680003,-0.13288
55137,"Waushara, Wisconsin",1.04553,1.1730601,0.10098,-0.14015
55139,"Winnebago, Wisconsin",1.1507601,1.29467,0.065370001,-0.13023999
55141,"Wood, Wisconsin",1.05983,1.18146,0.071900003,-0.17472
